#root,dhatu,gana,meanings
Gat1,Gataz,BvAxiH,ceRtAyAm
Gat2,Gataz,curAxiH,safGAwe
Gat3,Gataz,curAxiH,BARArWaH
Gatt1,Gattaz,BvAxiH,saMGAwe
Gatt2,Gattaz,curAxiH,calane
GaNt1,Gatiz,curAxiH,BARArWaH
Gas1,Gaslqz,BvAxiH,axane
GiNN1,GiNiz,BvAxiH,grahaNe
Gu1,Guf,BvAxiH,Sabxe
Gut1,Gutaz,BvAxiH,parivarwane
Gut2,Gutaz,wuxAxiH,prawiGAwe
GuN1,GuNaz,BvAxiH,grahaNe
GuNN1,GuNiz,BvAxiH,grahaNe
Gur1,Guraz,wuxAxiH,BImArWaSabxayoH
GuR1,GuRizr,BvAxiH,aviSabxane
GuR2,GuRizr,curAxiH,viSabxane
GuMR1,GuRiz,BvAxiH,kAnwikaraNe
GUr1,GUrIz,xivAxiH,hiMsAvayohAnyoH
GUrN1,GUrNaz,BvAxiH,BramaNe
GUrN2,GUrNaz,wuxAxiH,BramaNe
Gq1,Gq,BvAxiH,secane
#Gq2,Gq,juhowyAxiH,kRaraNaxIpwyoH
Gq3,Gq,curAxiH,prasravaNe
GqN1,GqNaz,wuxAxiH,BramaNe
GqN2,GqNuz,wanAxiH,xIpwO
GqNN1,GqNiz,BvAxiH,grahaNe
GqR1,GqRuz,BvAxiH,safGarRe
GrA1,GrA,BvAxiH,ganXopAxAne
#Gru1,Gruf,BvAxiH,MISSING
#fu1,fuf,BvAxiH,gawO
cakAs1,cakAsqz,axAxiH,xIpwO
cak1,cakaz,BvAxiH,wqpwO prawiGAwe ca
cak2,cakaz,BvAxiH,wqpwO
cakk1,cakkaz,curAxiH,vyaWane
cakR1,cakRizf,axAxiH,vyakwAyAM vAci
caFc1,caFcuz,BvAxiH,gawyarWaH
cat1,catez,BvAxiH,varRAvaraNayoH
cat2,cataz,curAxiH,Bexane
caN1,caNaz,BvAxiH,xAne ca
caNd1,cadiz,BvAxiH,kope
caNd2,cadiz,curAxiH,MISSING
caw1,cawez,BvAxiH,yAcane
